Street Address,CSZ,Price,Property Type,Number of Bedrooms,Number of Bathrooms
736 W 7th St Apt 4,"Dallas, TX 75208",$900,For Rent - House,Studio,1bath
7421 Frankford Rd,"Dallas, TX 75252","$1,257 - $2,740",For Rent - Other,1 - 3bed,1 - 2bath
1955 Market Center Blvd,"Dallas, TX 75207","$1,413 - $2,272",For Rent - Other,1 - 2bed,1 - 2bath
11330 Amanda Ln,"Dallas, TX 75238","$865 - $1,364",For Rent - Other,1 - 2bed,1 - 2bath
1A Unit Bedroom,"Dallas, TX 75233",$550,For Rent - House,1bed,1bath
3592 Lampasas 1B Ave Unit Bedroom,"Dallas, TX 75233",$575,For Rent - House,1bed,1bath
3427 Cedar Springs Rd Unit 7207-2,"Dallas, TX 75219","$2,340",For Rent - Apartment,2bed,2bath
3592 Lampasas 1D Ave Unit Bedroom,"Dallas, TX 75233",$600,For Rent - House,1bed,1bath
4822 Baldwin St,"Dallas, TX 75210",$950,For Rent - House,2bed,1bath
3627 Reese Dr,"Dallas, TX 75210",$950,For Rent - House,2bed,1bath
10248 Regal Oaks Bldg Dr E Ste A,"Dallas, TX 75230",$995,For Rent - House,1bed,1bath
17812 River Chase Dr,"Dallas, TX 75287","$3,200",For Rent - House,5bed,3.5+bath
7475 Brentcove Cir,"Dallas, TX 75214","$2,300",For Rent - House,2bed,2bath
9696 Walnut St Apt 1902,"Dallas, TX 75243",$895,For Rent - House,1bed,1bath
2715 Southland St,"Dallas, TX 75215","$1,100",For Rent - House,3bed,2bath
4040 Avondale Ave Apt 206,"Dallas, TX 75219","$2,000",For Rent - House,2bed,2.5bath
11334 Park Central Pl Apt C,"Dallas, TX 75230","$1,700",For Rent - House,2bed,2bath
9696 Walnut St Apt 1512,"Dallas, TX 75243",$895,For Rent - House,1bed,1bath
9696 Walnut St Apt 1503,"Dallas, TX 75243",$895,For Rent - House,1bed,1bath
9696 Walnut St Apt 1506,"Dallas, TX 75243",$895,For Rent - House,1bed,1bath
2851 Frost Ave,"Dallas, TX 75215",$950,For Rent - House,2bed,1bath
6140 Rincon Way,"Dallas, TX 75214","$2,350",For Rent - House,2bed,2bath
8775 Halstead Ct,"Dallas, TX 75243","$2,750",For Rent - House,3bed,3.5bath
18081 Midway Rd,"Dallas, TX 75287","$1,165 - $1,576",For Rent - Other,1 - 2bed,1 - 2bath
18331 Roehampton Dr,"Dallas, TX 75252","$1,231 - $1,855",For Rent - Other,1 - 2bed,1 - 2bath
14041 Preston Rd,"Dallas, TX 75254","$1,095 - $1,501",For Rent - Other,1 - 2bed,1 - 2bath
9877 Brockbank Dr,"Dallas, TX 75220","$1,158 - $1,254",For Rent - Other,1 - 3bed,1 - 2bath
609 N Lancaster Ave,"Dallas, TX 75203","$1,193 - $1,828",For Rent - Other,1 - 2bed,1bath
10570 Stone Canyon Rd,"Dallas, TX 75230","$995 - $1,195",For Rent - Other,1 - 2bed,1 - 2bath
800 Ross Ave,"Dallas, TX 75202","$1,615 - $2,105",For Rent - Other,1 - 2bed,1 - 2bath
9191 Garland Rd,"Dallas, TX 75218","$1,455 - $2,215",For Rent - Other,1 - 2bed,1 - 2bath
3663 Cedar Springs Rd,"Dallas, TX 75219","$1,725 - $2,605",For Rent - Other,Studio - 2bed,1 - 2bath
5140 Willis Ave,"Dallas, TX 75206","$1,673 - $2,779",For Rent - Other,1 - 2bed,1 - 2bath
12800 Jupiter Rd,"Dallas, TX 75238","$982 - $1,548",For Rent - Other,1 - 2bed,1 - 2bath
18800 Lina St,"Dallas, TX 75287","$1,096 - $1,655",For Rent - Other,1 - 2bed,1 - 2bath
5704 Spring Valley Rd,"Dallas, TX 75254","$1,084 - $1,454",For Rent - Apartment,Studio - 3bed,1 - 2bath
13030 Audelia Rd,"Dallas, TX 75243","$1,215",For Rent - Other,1bed,1bath
3750 Rosemeade Pkwy,"Dallas, TX 75287","$1,015 - $1,355",For Rent - Other,1 - 2bed,1 - 2bath
5940 Forest Park Rd,"Dallas, TX 75235","$1,460 - $2,395",For Rent - Other,Studio - 2bed,1 - 2bath
1500 N Fitzhugh Ave,"Dallas, TX 75204","$1,270 - $1,657",For Rent - Other,1bed,1bath
4055 Frankford Rd,"Dallas, TX 75287","$1,233 - $1,587",For Rent - Other,1 - 2bed,1 - 2bath
